|dates|Gilpin_Colorado_UnitedStates.BLS_EmployedPopulation.data|Gilpin_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Gilpin_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Gilpin_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Gilpin_Colorado_UnitedStates.BLS_UnemploymentRate.data|Gilpin_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Gilpin_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Gilpin_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-09-14|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-15|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-16|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-17|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-18|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-19|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-20|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-21|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-22|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-23|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-24|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-25|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-26|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-27|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-28|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-29|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-30|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-10-01|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-02|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-03|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-04|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-05|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-06|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-07|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-08|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-09|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-10|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-11|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-12|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-13|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-14|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-15|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-16|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-17|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-18|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-19|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-20|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-21|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-22|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-23|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-24|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-25|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-26|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-27|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-28|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-29|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-30|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-10-31|3607.0|0|290.0|0|7.441621760328458|0|3897.0|0
0|2020-11-01|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-02|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-03|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-04|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-05|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-06|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-07|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-08|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-09|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-10|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-11|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-12|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-13|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-14|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
0|2020-11-15|3646.0|0|272.0|0|6.9423175089331295|0|3918.0|0
