|dates|Cass_Indiana_UnitedStates.BLS_EmployedPopulation.data|Cass_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Cass_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Cass_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Cass_Indiana_UnitedStates.BLS_UnemploymentRate.data|Cass_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Cass_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Cass_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-06-03|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-04|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-05|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-06|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-07|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-08|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-09|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-10|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-11|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-12|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-13|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-14|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-15|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-16|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-17|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-18|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-19|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-20|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-21|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-22|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-23|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-24|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-25|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-26|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-27|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-28|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-29|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-30|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-07-01|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-02|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-03|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-04|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-05|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-06|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-07|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-08|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-09|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-10|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-11|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-12|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-13|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-14|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-15|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-16|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-17|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-18|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-19|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-20|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-21|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-22|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-23|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-24|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-25|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-26|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-27|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-28|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-29|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-30|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-07-31|16203.0|0|1350.0|0|7.690992992650829|0|17553.0|0
0|2020-08-01|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-02|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-03|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-04|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-05|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-06|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-07|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-08|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-09|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-10|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-11|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-12|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-13|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-14|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-15|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-16|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-17|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-18|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-19|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-20|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-21|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-22|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-23|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-24|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-25|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-26|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-27|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-28|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-29|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-30|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-08-31|16604.0|0|1021.0|0|5.79290780141844|0|17625.0|0
0|2020-09-01|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-02|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-03|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-04|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-05|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-06|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-07|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-08|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-09|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-10|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-11|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-12|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-13|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-14|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-15|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-16|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-17|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-18|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-19|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-20|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-21|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-22|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-23|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-24|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-25|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-26|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-27|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-28|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-29|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-09-30|16768.0|0|876.0|0|4.9648605758331446|0|17644.0|0
0|2020-10-01|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-02|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-03|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-04|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-05|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-06|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-07|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-08|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-09|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-10|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-11|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-12|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-13|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-14|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-15|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-16|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-17|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-18|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-19|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-20|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-21|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-22|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-23|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-24|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-25|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-26|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-27|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-28|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-29|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-30|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-10-31|16799.0|0|750.0|0|4.273747791896974|0|17549.0|0
0|2020-11-01|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-02|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-03|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-04|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-05|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-06|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-07|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-08|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-09|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-10|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-11|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-12|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-13|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-14|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
0|2020-11-15|16684.0|0|718.0|0|4.125962533042179|0|17402.0|0
