|dates|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Highland_Virginia_UnitedStates.Male_Total_Population.data|Highland_Virginia_UnitedStates.Male_Total_Population.missing|Highland_Virginia_UnitedStates.Female_Total_Population.data|Highland_Virginia_UnitedStates.Female_Total_Population.missing|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-11-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-12-28|760.0|0|1100.0|0|1110.0|0|290.0|0
