|dates|Marinette_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Marinette_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Marinette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Marinette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Marinette_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Marinette_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Marinette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Marinette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-09-25|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-26|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-27|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-28|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-29|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-30|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-10-01|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-02|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-03|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-04|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-05|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-06|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-07|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-08|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-09|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-10|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-11|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-12|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-13|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-14|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-15|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-16|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-17|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-18|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-19|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
0|2020-10-20|18399.0|0|929.0|0|4.806498344370861|0|19328.0|0
