|dates|Wasatch_Utah_UnitedStates.BLS_EmployedPopulation.data|Wasatch_Utah_UnitedStates.BLS_EmployedPopulation.missing|Wasatch_Utah_UnitedStates.BLS_UnemployedPopulation.data|Wasatch_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Wasatch_Utah_UnitedStates.BLS_UnemploymentRate.data|Wasatch_Utah_UnitedStates.BLS_UnemploymentRate.missing|Wasatch_Utah_UnitedStates.BLS_LaborForcePopulation.data|Wasatch_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-10-12|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-13|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-14|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-15|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-16|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-17|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-18|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-19|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-20|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-21|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-22|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-23|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-24|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-25|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-26|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-27|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-28|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-29|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-30|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-31|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-11-01|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-02|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-03|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-04|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-05|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-06|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-07|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-08|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-09|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-10|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-11|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-12|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
0|2020-11-13|15194.0|0|626.0|0|3.957016434892541|0|15820.0|0
