|dates|Cumberland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Cumberland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Cumberland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Cumberland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Cumberland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-11-23|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-24|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-25|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-26|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-27|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-28|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-29|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-30|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-12-01|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-02|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-03|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-04|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-05|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-06|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-07|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-08|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-09|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-10|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-11|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-12|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-13|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-14|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-15|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-16|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-17|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-18|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-19|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-20|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-21|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-22|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-23|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-24|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-25|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-26|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-27|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-28|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-29|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-30|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2020-12-31|122707.0|0|6298.0|0|4.881981318553544|0|129005.0|0
0|2021-01-01|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-02|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-03|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-04|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-05|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-06|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-07|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-08|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-09|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-10|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-11|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-12|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-13|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-14|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-15|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-16|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-17|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-18|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-19|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-20|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-21|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-22|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-23|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-24|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-25|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-26|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-27|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-28|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-29|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-30|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-01-31|121133.0|0|7150.0|0|5.57361458650016|0|128283.0|0
0|2021-02-01|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-02|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-03|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-04|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-05|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-06|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-07|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-08|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-09|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-10|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-11|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-12|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-13|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-14|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-15|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-16|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-17|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-18|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-19|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-20|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-21|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-22|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-23|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-24|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-25|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-26|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-27|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-02-28|122741.0|0|7176.0|0|5.523526559264761|0|129917.0|0
0|2021-03-01|122934.0|0|6523.0|0|5.038738731779664|0|129457.0|0
0|2021-03-02|122934.0|0|6523.0|0|5.038738731779664|0|129457.0|0
0|2021-03-03|122934.0|0|6523.0|0|5.038738731779664|0|129457.0|0
0|2021-03-04|122934.0|0|6523.0|0|5.038738731779664|0|129457.0|0
0|2021-03-05|122934.0|0|6523.0|0|5.038738731779664|0|129457.0|0
0|2021-03-06|122934.0|0|6523.0|0|5.038738731779664|0|129457.0|0
