|dates|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ocean_NewJersey_UnitedStates.Male_Total_Population.data|Ocean_NewJersey_UnitedStates.Male_Total_Population.missing|Ocean_NewJersey_UnitedStates.Female_Total_Population.data|Ocean_NewJersey_UnitedStates.Female_Total_Population.missing|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-11-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-12-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-12-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-12-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-12-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-12-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-12-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
