|dates|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.missing|Hinsdale_Colorado_UnitedStates.AverageWindDirection.data|Hinsdale_Colorado_UnitedStates.AverageWindDirection.missing|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.data|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-07-28|0.0|0|0.003229166666666667|0|171.92708333333334|0|5.84375|0
0|2020-07-29|0.0|0|0.0|0|171.35416666666666|0|6.197916666666667|0
0|2020-07-30|0.0|0|0.000625|0|134.32291666666666|0|4.453125|0
0|2020-07-31|0.0|0|0.0004166666666666667|0|107.1875|0|4.229166666666667|0
0|2020-08-01|0.0|0|0.0|0|97.29166666666667|0|3.7708333333333335|0
0|2020-08-02|0.0|0|0.0|0|126.04166666666667|0|4.510416666666667|0
0|2020-08-03|0.0|0|0.0010416666666666667|0|116.25|0|5.166666666666667|0
0|2020-08-04|0.0|0|0.0|0|165.78125|0|5.671875|0
0|2020-08-05|0.0|0|0.0|0|126.77083333333333|0|5.760416666666667|0
0|2020-08-06|0.0|0|0.0|0|135.83333333333334|0|7.479166666666667|0
0|2020-08-07|0.0|0|0.0|0|159.73958333333334|0|6.942708333333333|0
0|2020-08-08|0.0|0|0.0|0|178.85416666666666|0|6.125|0
0|2020-08-09|0.0|0|0.0|0|149.6875|0|5.541666666666667|0
0|2020-08-10|0.0|0|0.0|0|147.5|0|4.854166666666667|0
0|2020-08-11|0.0|0|0.0|0|153.90625|0|6.9375|0
0|2020-08-12|0.0|0|0.0|0|153.64583333333334|0|6.739583333333333|0
0|2020-08-13|0.0|0|0.0|0|158.33333333333334|0|6.447916666666667|0
0|2020-08-14|0.0|0|0.0|0|132.29166666666666|0|4.6875|0
0|2020-08-15|0.0|0|0.0|0|119.58333333333333|0|5.083333333333333|0
0|2020-08-16|0.0|0|0.0|0|121.45833333333333|0|4.145833333333333|0
0|2020-08-17|0.0|0|0.0|0|126.45833333333333|0|4.510416666666667|0
0|2020-08-18|0.0|0|0.0|0|139.16666666666666|0|4.5|0
0|2020-08-19|0.0|0|0.0|0|110.36458333333333|0|3.9010416666666665|0
