|dates|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.data|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.missing|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.data|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-08-23|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-24|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-25|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-26|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-27|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-28|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-29|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-30|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-31|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-09-01|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-02|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-03|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-04|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-05|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-06|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-07|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-08|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-09|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-10|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-11|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-12|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-13|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-14|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-15|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-16|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-17|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-18|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-19|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-20|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-21|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-22|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-23|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-24|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-25|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-26|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-27|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-28|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
0|2020-09-29|32538.0|0|2012.0|0|5.8234442836468885|0|34550.0|0
