|dates|Jackson_Colorado_UnitedStates.BLS_EmployedPopulation.data|Jackson_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Jackson_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Jackson_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Jackson_Colorado_UnitedStates.BLS_UnemploymentRate.data|Jackson_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Jackson_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Jackson_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-07-26|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-27|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-28|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-29|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-30|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-31|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-08-01|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-02|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-03|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-04|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-05|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-06|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-07|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-08|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-09|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-10|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-11|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-12|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-13|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-14|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-15|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-16|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-17|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-18|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-19|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-20|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-21|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-22|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-23|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-24|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-25|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-26|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-27|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-28|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-29|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-30|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-08-31|961.0|0|33.0|0|3.319919517102616|0|994.0|0
0|2020-09-01|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-02|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-03|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-04|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-05|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-06|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-07|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-08|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-09|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-10|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-11|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-12|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-13|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-14|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-15|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-16|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
0|2020-09-17|955.0|0|29.0|0|2.9471544715447155|0|984.0|0
