|dates|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.data|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.missing|Thurston_Washington_UnitedStates.AveragePrecipitation.data|Thurston_Washington_UnitedStates.AveragePrecipitation.missing|Thurston_Washington_UnitedStates.AverageWindDirection.data|Thurston_Washington_UnitedStates.AverageWindDirection.missing|Thurston_Washington_UnitedStates.AverageWindSpeed.data|Thurston_Washington_UnitedStates.AverageWindSpeed.missing
0|2020-09-26|0.017708333333333333|0|0.011701388888888888|0|204.16666666666666|0|7.479166666666667|0
0|2020-09-27|0.003645833333333333|0|0.0|0|71.5625|0|3.6840277777777772|0
0|2020-09-28|0.0|0|0.0|0|27.083333333333332|0|5.125|0
0|2020-09-29|0.0|0|0.0|0|43.333333333333336|0|3.125|0
0|2020-09-30|0.0|0|0.0|0|5.0|0|0.9166666666666666|0
0|2020-10-01|0.0|0|0.0|0|93.09424603174602|0|2.066964285714286|0
0|2020-10-02|0.0|0|0.0|0|58.15625|0|1.3104166666666668|0
0|2020-10-03|0.0|0|0.0|0|95.97222222222223|0|3.0625|0
0|2020-10-04|0.0|0|0.0|0|70.43055555555556|0|1.4194444444444443|0
0|2020-10-05|0.0|0|0.0|0|86.59722222222223|0|4.423611111111111|0
0|2020-10-06|0.0|0|0.0|0|62.47420634920635|0|4.6866071428571425|0
0|2020-10-07|0.0|0|0.0|0|36.59920634920635|0|0.8696428571428573|0
0|2020-10-08|0.0|0|0.0|0|174.79166666666666|0|5.833333333333333|0
0|2020-10-09|0.0|0|0.014791666666666667|0|171.66666666666666|0|5.0|0
0|2020-10-10|0.02|0|0.034180555555555554|0|215.7361111111111|0|9.083333333333334|0
0|2020-10-11|0.024166666666666666|0|0.03172222222222223|0|197.58333333333334|0|11.115277777777777|0
0|2020-10-12|0.03666666666666667|0|0.0|0|203.33333333333334|0|7.895833333333333|0
0|2020-10-13|0.004791666666666667|0|0.030868055555555555|0|210.41666666666666|0|13.204861111111112|0
0|2020-10-14|0.015416666666666667|0|0.0008333333333333334|0|185.69444444444443|0|8.0|0
0|2020-10-15|0.00016666666666666666|0|0.0|0|54.520833333333336|0|1.9708333333333332|0
0|2020-10-16|0.0|0|0.0018055555555555557|0|211.49305555555557|0|11.006944444444445|0
0|2020-10-17|0.0025|0|0.0|0|208.75|0|8.666666666666666|0
0|2020-10-18|0.0|0|0.014166666666666666|0|200.06944444444446|0|9.652777777777777|0
0|2020-10-19|0.007916666666666667|0|0.0|0|189.72222222222226|0|9.57986111111111|0
0|2020-10-20|0.0|0|0.0|0|91.52777777777777|0|2.5|0
0|2020-10-21|0.0|0|0.0004166666666666667|0|173.75|0|7.302083333333333|0
0|2020-10-22|0.00020833333333333335|0|0.0|0|40.875|0|1.25|0
0|2020-10-23|0.0|0|0.006666666666666665|0|151.54166666666666|0|7.827083333333334|0
0|2020-10-24|0.008749999999999999|0|0.0004166666666666667|0|45.208333333333336|0|8.229166666666666|0
0|2020-10-25|0.0|0|0.0|0|55.833333333333336|0|6.625|0
0|2020-10-26|0.0|0|0.0|0|97.5|0|2.1666666666666665|0
0|2020-10-27|0.0|0|0.0|0|58.05555555555555|0|1.4166666666666667|0
0|2020-10-28|0.0|0|0.0|0|98.61111111111113|0|2.8333333333333335|0
0|2020-10-29|0.0|0|0.0|0|115.67658730158729|0|2.7740079365079358|0
0|2020-10-30|0.0|0|0.003854166666666667|0|191.35416666666666|0|8.451388888888888|0
0|2020-10-31|0.0015277777777777779|0|0.0|0|58.81150793650793|0|3.5107142857142857|0
0|2020-11-01|0.0|0|0.0|0|22.55456349206349|0|1.1473214285714286|0
0|2020-11-02|0.0|0|0.0|0|96.125|0|2.0812500000000003|0
0|2020-11-03|0.0|0|0.037118055555555564|0|188.37037037037035|0|8.811574074074073|0
0|2020-11-04|0.01347222222222222|0|0.016326388888888887|0|196.74305555555557|0|13.234027777777778|0
0|2020-11-05|0.028749999999999998|0|0.027673611111111118|0|139.0625|0|6.302083333333333|0
0|2020-11-06|0.03875|0|0.017083333333333336|0|56.4657738095238|0|6.574404761904762|0
0|2020-11-07|0.002166666666666667|0|0.000625|0|115.71875|0|2.444097222222222|0
0|2020-11-08|0.0|0|0.0|0|230.0|0|3.0|0
0|2020-11-09|0.0|0|0.0017361111111111112|0|174.0277777777778|0|7.027777777777778|0
0|2020-11-10|0.0020833333333333333|0|0.0018750000000000001|0|186.80555555555554|0|7.6875|0
0|2020-11-11|0.000625|0|0.0|0|117.8611111111111|0|2.7402777777777776|0
0|2020-11-12|0.0|0|0.0073611111111111125|0|168.81547619047618|0|10.441914682539682|0
0|2020-11-13|0.010138888888888888|0|0.0429811507936508|0|215.81845238095238|0|14.633928571428571|0
0|2020-11-14|0.015208333333333332|0|0.025729166666666668|0|187.56944444444443|0|9.152777777777777|0
0|2020-11-15|0.02791666666666667|0|0.010868055555555554|0|186.63194444444446|0|7.409722222222222|0
0|2020-11-16|0.005208333333333333|0|0.02701388888888889|0|68.05555555555556|0|2.9583333333333335|0
0|2020-11-17|0.007604166666666666|0|0.021458333333333333|0|176.35416666666666|0|8.979166666666666|0
0|2020-11-18|0.030416666666666665|0|0.021770833333333333|0|165.38194444444446|0|8.684027777777777|0
0|2020-11-19|0.012499999999999999|0|0.021284722222222222|0|205.76388888888889|0|7.347222222222222|0
0|2020-11-20|0.02125|0|0.0004166666666666667|0|205.13888888888889|0|6.375|0
0|2020-11-21|0.0|0|0.0|0|79.625|0|2.9736111111111114|0
0|2020-11-22|0.0|0|0.004236111111111111|0|162.56944444444443|0|4.368055555555555|0
0|2020-11-23|0.0022916666666666667|0|0.003263888888888889|0|211.9652777777778|0|8.307638888888889|0
0|2020-11-24|0.00375|0|0.009166666666666667|0|210.0|0|11.0|0
0|2020-11-25|0.0060416666666666665|0|0.004375|0|164.75694444444443|0|5.288194444444445|0
0|2020-11-26|0.005416666666666667|0|0.0004166666666666667|0|190.1388888888889|0|6.077546296296297|0
0|2020-11-27|0.0004166666666666667|0|0.0001388888888888889|0|228.1597222222222|0|7.565972222222222|0
0|2020-11-28|0.0001388888888888889|0|0.0|0|132.4375|0|3.4958333333333336|0
0|2020-11-29|0.0|0|0.0|0|67.25694444444444|0|2.236111111111111|0
0|2020-11-30|0.0075|0|0.018541666666666668|0|192.60416666666666|0|9.427083333333334|0
0|2020-12-01|0.0025833333333333333|0|0.0|0|20.416666666666668|0|2.7395833333333335|0
0|2020-12-02|0.0|0|0.0|0|8.177083333333334|0|0.14583333333333334|0
0|2020-12-03|0.0|0|0.0|0|110.41666666666667|0|2.625|0
