|dates|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hand_SouthDakota_UnitedStates.Male_Total_Population.data|Hand_SouthDakota_UnitedStates.Male_Total_Population.missing|Hand_SouthDakota_UnitedStates.Female_Total_Population.data|Hand_SouthDakota_UnitedStates.Female_Total_Population.missing|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-11-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-12-25|826.0|0|1627.0|0|1635.0|0|715.0|0
