|dates|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.data|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.data|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-09-28|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-29|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-30|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-10-01|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-02|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-03|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-04|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-05|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-06|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-07|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-08|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-09|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-10|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-11|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-12|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-13|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-14|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-15|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-16|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-17|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-18|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-19|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-20|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-21|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-22|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-23|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-24|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-25|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-26|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-27|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-28|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-29|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-30|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-10-31|20871.0|0|945.0|0|4.3316831683168315|0|21816.0|0
0|2020-11-01|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-02|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-03|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-04|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-05|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-06|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-07|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-08|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-09|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-10|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-11|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
0|2020-11-12|20931.0|0|915.0|0|4.188409777533645|0|21846.0|0
