|dates|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_NorthDakota_UnitedStates.Male_Total_Population.data|Logan_NorthDakota_UnitedStates.Male_Total_Population.missing|Logan_NorthDakota_UnitedStates.Female_Total_Population.data|Logan_NorthDakota_UnitedStates.Female_Total_Population.missing|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-08-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-31|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-09-08|494.0|0|983.0|0|920.0|0|438.0|0
